"Name","Source","Size","Type","Alignment","AC","HP","Speed","Strength","Dexterity","Constitution","Intelligence","Wisdom","Charisma","Saving Throws","Skills","Damage Vulnerabilities","Damage Resistances","Damage Immunities","Condition Immunities","Senses","Languages","CR","Traits","Actions","Bonus Actions","Reactions","Legendary Actions","Mythic Actions","Lair Actions","Regional Effects","Environment"
"Umber Hulk","MM","Large","monstrosity","chaotic evil","18 (natural armor)","93 (11d10 + 33)","30 ft., burrow 20 ft.","20","13","16","9","10","10","","","","","","","darkvision 120 ft., tremorsense 60 ft., passive Perception 10","Umber Hulk","5 (1,800 XP)"," Confusing Gaze. When a creature starts its turn within 30 feet of the umber hulk and is able to see the umber hulk's eyes, the umber hulk can magically force it to make a DC 15 Charisma saving throw, unless the umber hulk is incapacitated.On a failed saving throw, the creature can't take reactions until the start of its next turn and rolls a d8 to determine what it does during that turn. On a 1 to 4, the creature does nothing. On a 5 or 6, the creature takes no action but uses all its movement to move in a random direction. On a 7 or 8, the creature makes one melee attack against a random creature, or it does nothing if no creature is within reach.Unless surprised, a creature can avert its eyes to avoid the saving throw at the start of its turn. If the creature does so, it can't see the umber hulk until the start of its next turn, when it can avert its eyes again. If the creature looks at the umber hulk in the meantime, it must immediately make the save. Tunneler. The umber hulk can burrow through solid rock at half its burrowing speed and leaves a 5 foot-wide, 8-foot-high tunnel in its wake."," Multiattack. The umber hulk makes three attacks: two with its claws and one with its mandibles. Claw. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) slashing damage. Mandibles. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) slashing damage.","","","","","","","Underdark"
"Umbraxakar","WDMM","Huge","dragon","neutral evil","19 (natural armor)","212 (17d12 + 102)","40 ft., fly 80 ft., swim 40 ft.","25","10","23","16","15","19","Dex +5, Con +11, Wis +7, Cha +9","Insight +7, Perception +12, Stealth +10","","necrotic","lightning","","blindsight 60 ft., darkvision 120 ft., passive Perception 22","Common, Draconic","15 (13,000 XP)"," Amphibious. The dragon can breathe air and water. Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead. Living Shadow. While in dim light or darkness, the dragon has resistance to damage that isn't force, psychic, or radiant. Shadow Stealth. While in dim light or darkness, the dragon can take the Hide action as a bonus action. Sunlight Sensitivity. While in sunlight, the dragon has disadvantage on attack rolls, as well as on Wisdom (Perception) checks that rely on sight."," Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws. Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 18 (2d10 + 7) piercing damage. Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: 14 (2d6 + 7) slashing damage. Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: 16 (2d8 + 7) bludgeoning damage. Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours. Breath Weapons (Recharge 5–6). The dragon uses one of the following breath weapons.Necrotic Breath. The dragon exhales necrotic in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) necrotic damage on a failed save, or half as much damage on a successful one.Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save, the creature is pushed 60 feet away from the dragon. Change Shape. The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice).In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.","",""," Detect. The dragon makes a Wisdom (Perception) check. Tail Attack. The dragon makes a tail attack. Wing Attack (Costs 2 Actions). The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.",""," Additional Lair Action[–] Shadow dragons have access to the lair actions usable by untransformed dragons of the same kind. The effects of these actions might be cosmetically altered, seeming darker, gloomier, and more subdued. They might also deal necrotic damage instead of other damage types. At your discretion, a legendary (adult or ancient) shadow dragon can use the following additional lair action while in its lair:Banish Light. Any nonmagical source of illumination within a 60-foot-radius sphere centered on the dragon is snuffed out, and any spell that creates light within that same area is dispelled.","When a shadow dragon establishes a lair on the Material Plane, the region around the lair takes on some of the characteristics of the Shadowfell, creating one or more of the following effects:Brooding Despair. Creatures within 1 mile of the dragon's lair that have an Intelligence score of 5 or higher feel forlorn and hopeless.Dying Light. Light is diminished within 6 miles of the dragon's lair, lightly obscuring the land in gloomy shadows.Gloomy Portals. Some caves, caverns, pits, and other places of deep gloom within 1 mile of the dragon's lair form portals to the Shadowfell, allowing creatures from that plane to dwell nearby.",""
"Undead Bulette","WDMM","Large","undead","unaligned","17 (natural armor)","125 (9d10 + 45)","40 ft., burrow 40 ft.","19","11","21","2","10","5","","Perception +6","radiant","necrotic","poison","poisoned","darkvision 60 ft., tremorsense 60 ft., passive Perception 16","—","5 (1,800 XP)"," Standing Leap. The bulette's long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start."," Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 30 (4d12 + 4) piercing damage. Deadly Leap. If the bulette jumps at least 15 feet as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target's choice) or be knocked prone and take 14 (3d6 + 4) bludgeoning damage plus 14 (3d6 + 4) slashing damage. On a successful save, the creature takes only half the damage, isn't knocked prone, and is pushed 5 feet out of the bulette's space into an unoccupied space of the creature's choice. If no unoccupied space is within range, the creature instead falls prone in the bulette's space.","","","","","","",""
"Undead Cockatrice","OoW","Small","undead","unaligned","11","27 (6d6 + 6)","20 ft., fly 40 ft.","6","12","12","2","13","5","","","","","poison","poisoned","darkvision 60 ft., passive Perception 11","—","1/2 (100 XP)",""," Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw against being magically petrified. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours.","","","","","","",""
"Undead Shambling Mound","WDMM","Large","undead","unaligned","15 (natural armor)","136 (16d10 + 48)","20 ft., swim 20 ft.","18","8","16","5","10","5","","Stealth +2","","cold, fire","necrotic, poison","blinded, deafened, exhaustion, poisoned","blindsight 60 ft. (blind beyond this radius), passive Perception 10","—","5 (1,800 XP)"," Necrotic Absorption. Whenever the shambling mound is subjected to necrotic damage, it takes no damage and regains a number of hit points equal to the necrotic damage dealt."," Multiattack. The shambling mound makes two slam attacks. If both attacks hit a Medium or smaller target, the target is grappled (escape DC 14), and the shambling mound uses its Engulf on it. Slam. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage. Engulf. The shambling mound engulfs a Medium or smaller creature grappled by it. The engulfed target is blinded, restrained, and unable to breathe, and it must succeed on a DC 14 Constitution saving throw at the start of each of the mound's turns or take 13 (2d8 + 4) bludgeoning damage. If the mound moves, the engulfed target moves with it. The mound can have only one creature engulfed at a time.","","","","","","",""
"Undead Spirit","TCE","Medium","undead","unaligned","11 + the level of the spell (natural armor)","30 (Ghostly and Putrid only) or 20 (Skeletal only) + 10 for each spell level above 3rd","30 ft., fly 40 ft. (ghostly only; hover)","12","16","15","4","10","9","","","","","necrotic, poison","exhaustion, frightened, paralyzed, poisoned","darkvision 60 ft., passive Perception 10","understands the languages you speak",""," Festering Aura (Putrid Only). Any creature, other than you, that starts its turn within 5 feet of the spirit must succeed on a Constitution saving throw against your spell save DC or be poisoned until the start of its next turn. Incorporeal Passage (Ghostly Only). The spirit can move through other creatures and objects as if they were difficult terrain. If it ends its turn inside an object, it is shunted to the nearest unoccupied space and takes 1d10 force damage for every 5 feet traveled."," Multiattack. The spirit makes a number of attacks equal to half this spell's level (rounded down). Deathly Touch (Ghostly Only). Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one creature. Hit: 1d8 + 3 + the spell's level necrotic damage, and the creature must succeed on a Wisdom saving throw against your spell save DC or be frightened of the undead until the end of the target's next turn. Grave Bolt (Skeletal Only). Ranged Spell Attack: your spell attack modifier to hit, range 150 ft., one target. Hit: 2d4 + 3 + the spell's level necrotic damage. Rotting Claw (Putrid Only). Melee Weapon Attack: your spell attack modifier to hit, reach 5 ft., one target. Hit: 1d6 + 3 + the spell's level slashing damage. If the target is poisoned, it must succeed on a Constitution saving throw against your spell save DC or be paralyzed until the end of its next turn.","","","","","","",""
"Undead Tree","BGDIA","Huge","undead","chaotic good","16 (natural armor)","138 (12d12 + 60)","30 ft.","23","8","21","12","16","12","","","fire","necrotic","","","passive Perception 13","Common, Druidic, Elvish, Sylvan","9 (5,000 XP)"," False Appearance. While the tree remains motionless, it is indistinguishable from a normal tree. Siege Monster. The tree deals double damage to objects and structures."," Multiattack. The tree makes two slam attacks. Slam. Melee Weapon Attack: +10 to hit, reach 5 ft., one target. Hit: 16 (3d6 + 6) bludgeoning damage. Rock. Ranged Weapon Attack: +10 to hit, range 60/180 ft., one target. Hit: 28 (4d10 + 6) bludgeoning damage. Animate Trees (1/Day). The tree magically animates one or two trees it can see within 60 feet of it. These trees have the same statistics as a treant, except they have Intelligence and Charisma scores of 1, they can't speak, and they have only the Slam action option. An animated tree acts as an ally of the tree. The tree remains animate for 1 day or until it dies; until the tree dies or is more than 120 feet from the tree; or until the tree takes a bonus action to turn it back into an inanimate tree. The tree then takes root if possible.","","","","","","",""
"Undercity Medusa","GGR","Medium","monstrosity","neutral evil","16 (natural armor)","120 (16d8 + 48)","30 ft.","16","18","16","17","12","15","","Deception +5, Insight +4, Perception +4, Stealth +7","","","","","darkvision 60 ft., passive Perception 14","Common, Elvish","6 (2,300 XP)"," Innate Spellcasting. The medusa's innate spellcasting ability is Intelligence (spell save DC 14). The medusa can innately cast the following spells, requiring no material components:1/day each: expeditious retreat, fog cloud, misty step Magic Resistance. The medusa has advantage on saving throws against spells and other magical effects. Surprise Attack. During the first round of combat, the medusa has advantage on attack rolls against any creature that is surprised, and it deals an extra 10 (3d6) damage each time it hits such a creature with an attack."," Multiattack. The medusa makes two claw attacks. It can also use Petrifying Gaze before or after making these attacks. Claw. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage. Petrifying Gaze. The medusa fixes its gaze on one creature within 60 feet of it that it can see and that can see its eyes. The target must make a DC 14 Constitution saving throw. If the saving throw fails by 5 or more, the creature is instantly petrified. Otherwise, a creature that fails the save begins to turn to stone and is restrained. The restrained creature must repeat the saving throw at the end of its next turn, becoming petrified on a failure or ending the effect on a success. The petrification lasts until the creature is freed by a greater restoration spell or similar magic.","","","","","","",""
"Underworld Cerberus","MOT","Large","monstrosity","lawful evil","16 (natural armor)","104 (11d10 + 44)","60 ft.","19","12","18","10","16","9","","Athletics +7, Perception +9, Stealth +4","","","fire, necrotic","blinded, charmed, deafened, exhaustion, frightened, stunned","truesight 30 ft., passive Perception 19","understands all languages but can't speak","6 (2,300 XP)"," Aggressive. As a bonus action, the cerberus can move up to its speed toward a hostile creature that it can see. Multiheaded. The cerberus can't be surprised, and it has advantage on saving throws against being knocked unconscious. Pack Tactics. The cerberus has advantage on an attack roll against a creature if at least one of the cerberus's allies is within 5 feet of the creature and the ally isn't incapacitated."," Multiattack. The cerberus makes three bite attacks. Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage plus 3 (1d6) fire damage. Breath Weapon (Recharge 5–6). The cerberus exhales a 30-foot cone of molten rock. Each creature in the cone must make a DC 15 Dexterity saving throw, taking 21 (6d6) fire damage on a failed save, or half as much damage on a successful one. On a failed save, a creature is also restrained by the hardening rock. A creature can make a DC 15 Strength (Athletics) check as an action, freeing itself or a creature within reach from the rock on a success. The rock has AC 17 and 20 hit points, and it is immune to fire, poison, and psychic damage.","","","","","","",""
"Undying Councilor","ERLW","Medium","undead","neutral good","17 (natural armor)","104 (16d8 + 32)","30 ft.","16","10","14","17","21","16","Con +6, Int +7, Wis +9","Arcana +7, History +11, Insight +9, Perception +9, Religion +7","necrotic","","poison, radiant","charmed, exhaustion, frightened, paralyzed, poisoned","darkvision 120 ft., passive Perception 19","Common, Elvish","10 (5,900 XP)"," Aura of Radiance. The councilor magically sheds bright light in a 15-foot radius and dim light for an additional 15 feet. The councilor can extinguish or restore this light as a bonus action. If the bright light overlaps with an area of darkness created by a spell of 3rd level or lower, the spell that created that darkness is dispelled. Magic Resistance. The councilor has advantage on saving throws against spells and other magical effects. Spellcasting. The councilor is a 13th-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 17, +9 to hit with spell attacks). It has the following cleric spells prepared:Cantrips (at will): guidance, mending, sacred flame, spare the dying, thaumaturgy1st level (4 slots): bless, command, create or destroy water2nd level (3 slots): augury, calm emotions, hold person3rd level (3 slots): daylight, dispel magic, spirit guardians4th level (3 slots): banishment, divination, guardian of faith5th level (2 slots): dispel evil and good, flame strike (see ""Actions"" below), scrying6th level (1 slot): forbiddance, planar ally7th level (1 slot): plane shift"," Multiattack. The councilor makes two Radiant Touch attacks. Radiant Touch. Melee Spell Attack: +9 to hit, reach 5 ft., one target. Hit: 15 (3d6 + 5) radiant damage. Healing Touch (3/Day). The councilor touches another creature. The target magically regains 18 (3d8 + 5) hit points and is freed from one curse afflicting it (councilor's choice). Flame Strike (5th-Level Spell; Requires a Spell Slot). The councilor chooses a point it can see within 60 feet of it. Each creature in a 10-foot-radius, 40-foot-high cylinder centered on that point must make a DC 17 Dexterity saving throw. A creature takes 14 (4d6) fire damage and 14 (4d6) radiant damage on a failed save, or half as much damage on a successful one. If the councilor casts this spell using a spell slot of 6th level or higher, the fire damage or the radiant damage (its choice) increases by 1d6 for each slot level above 5th.","",""," Touch. The councilor makes one attack with its Radiant Touch. Shimmering Aura (Costs 2 Actions). The councilor channels positive energy into its Aura of Radiance. Until the end of the councilor's next turn, it sheds bright light in a 30-foot radius and dim light for an additional 30 feet. Any creature that starts its turn in the bright light must succeed on a DC 17 Constitution saving throw or be blinded until the end of the councilor's next turn.","","","",""
"Undying Soldier","ERLW","Medium","undead","neutral good","17 (breastplate, shield)","26 (4d8 + 8)","30 ft.","16","12","14","11","13","14","","Athletics +5, History +4, Perception +3, Religion +4","necrotic","radiant; bludgeoning, piercing, and slashing from nonmagical attacks that aren't silvered","poison","exhaustion, poisoned","darkvision 60 ft., passive Perception 13","Common, Elvish","2 (450 XP)"," Illumination. The soldier magically sheds bright light in a 10-foot radius and dim light for an additional 10 feet. The soldier can extinguish or restore this light as a bonus action. Turn Resistance. The soldier has advantage on saving throws against any effect that turns undead."," Multiattack. The soldier makes two spear attacks. Spear. Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 6 (1d6 + 3) piercing damage or 7 (1d8 + 3) piercing damage if used with two hands to make a melee attack, plus 9 (2d8) radiant damage if the target is a fiend or undead.","","","","","","",""
"Unicorn","MM","Large","celestial","lawful good","12","67 (9d10 + 18)","50 ft.","18","14","15","11","17","16","","","","","poison","charmed, paralyzed, poisoned","darkvision 60 ft., passive Perception 13","Celestial, Elvish, Sylvan, telepathy 60 ft.","5 (1,800 XP)"," Charge. If the unicorn moves at least 20 feet straight toward a target and then hits it with a horn attack on the same turn, the target takes an extra 9 (2d8) piercing damage. If the target is a creature, it must succeed on a DC 15 Strength saving throw or be knocked prone. Innate Spellcasting. The unicorn's innate spellcasting ability is Charisma (spell save DC 14). The unicorn can innately cast the following spells, requiring no components:At will: detect evil and good, druidcraft, pass without trace1/day each: calm emotions, dispel evil and good, entangle Magic Resistance. The unicorn has advantage on saving throws against spells and other magical effects. Magic Weapons. The unicorn's weapon attacks are magical."," Multiattack. The unicorn makes two attacks: one with its hooves and one with its horn. Hooves. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. Horn. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage. Healing Touch (3/Day). The unicorn touches another creature with its horn. The target magically regains 11 (2d8 + 2) hit points. In addition, the touch removes all diseases and neutralizes all poisons afflicting the target. Teleport (1/Day). The unicorn magically teleports itself and up to three willing creatures it can see within 5 feet of it, along with any equipment they are wearing or carrying, to a location the unicorn is familiar with, up to 1 mile away.","",""," Hooves. The unicorn makes one attack with its hooves. Shimmering Shield (Costs 2 Actions). The unicorn creates a shimmering, magical field around itself or another creature it can see within 60 feet of it. The target gains a +2 bonus to AC until the end of the unicorn's next turn. Heal Self (Costs 3 Actions). The unicorn magically regains 11 (2d8 + 2) hit points.","","","Transformed by the creature's celestial presence, the domain of a unicorn might include any of the following magical effects:Open flames of a non magical nature are extinguished within the unicorn's domain. Torches and campfires refuse to burn, but closed lanterns are unaffected.Creatures native to the unicorn's domain have an easier time hiding; they have advantage on all Dexterity (Stealth) checks made to hide.When a good-aligned creature casts a spell or uses a magical effect that causes another good-aligned creature to regain hit points, the target regains the maximum number of hit points possible for the spell or effect.Curses affecting any good-aligned creature are suppressed.If the unicorn dies, these effects end immediately.","Forest"
"Unspeakable Horror","VRGR","Huge","monstrosity","","15 (natural armor), 17 (Aberrant Armor Only)","95 (10d10 + 40)","40 ft.","21","13","19","3","14","17","Con +7, Wis +5","Perception +5","","","","","darkvision 60 ft., passive Perception 15","—","8 (3,900 XP)"," Formed by the Mists. When created, the horror's body composition takes one of four forms: Aberrant Armor, Loathsome Limbs, Malleable Mass, or Oozing Organs. This form determines certain traits in this stat block. Amorphous (Malleable Mass Only). The horror can move through any opening at least 1 inch wide without squeezing. Bile Body (Oozing Organs Only). Any creature that touches the horror or hits it with a melee attack takes 5 (1d10) acid damage. Relentless Stride (Loathsome Limbs Only). The horror can move through the space of another creature. The first time on a turn that the horror enters a creature's space during this move, the creature must succeed on a DC 16 Strength saving throw or be knocked prone."," Multiattack. The horror makes two Limbs attacks. Limbs. Melee Weapon Attack: +8 to hit, reach 5 ft., one target. Hit: 21 (3d10 + 5) bludgeoning damage. Hex Blast (Recharge 5–6). The horror expels necrotic energy in a 30-foot cone. Each creature in that area must make a DC 15 Constitution saving throw, taking 45 (7d12) necrotic damage on a failed save, or half as much damage on a successful one.","","","","","","",""
"Urgala Meltimer","SKT","Medium","humanoid (Turami human)","lawful good","12 (leather armor)","58 (9d8 + 18)","30 ft.","16","13","14","12","14","13","","Athletics +5, Intimidation +3","","","","","passive Perception 12","Common, Giant",""," Giant Slayer. Any weapon attack that Urgala makes against a giant deals an extra 7 (2d6) damage on a hit. Roleplaying Information. A retired adventurer, Urgala owns a respectable inn, the North shield House, and she doesn't want to see it or her neighbors' homes destroyed. She has no tolerance for monsters or bullies.Ideal: ""We live in a violent world, and sometimes violence is necessary for survival.""Bond: ""My home is my life. Threaten it, and I'll hurt you.""Flaw: ""I know how treacherous and greedy adventurers can be. I don't trust them—any of them."""," Multiattack. Urgala makes two attacks with her morningstar or her shortbow. Morningstar. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage. Shortbow. Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 5 (1d6 + 1) piercing damage. Urgala carries a quiver of twenty arrows.","","","","","","",""
"Urstul Floxin","WDH","Medium","humanoid (Illuskan human)","lawful evil","15 (studded leather armor)","78 (12d8 + 24)","30 ft.","11","16","14","13","11","10","Dex +6, Int +4","Acrobatics +6, Deception +3, Perception +3, Stealth +9","","poison","","","passive Perception 13","Common, Orc, Thieves' cant","8 (3,900 XP)"," Assassinate. During its first turn, Urstul has advantage on attack rolls against any creature that hasn't taken a turn. Any hit Urstul scores against a surprised creature is a critical hit. Evasion. If Urstul is subjected to an effect that allows him to make a Dexterity saving throw to take only half damage, Urstul instead takes no damage if he succeeds on the saving throw, and only half damage if it fails. Sneak Attack (1/Turn). Urstul deals an extra 14 (4d6) damage when he hits a target with a weapon attack and has advantage on the attack roll, or when the target is within 5 feet of an ally of Urstul that isn't incapacitated and Urstul doesn't have disadvantage on the attack roll."," Multiattack. Urstul makes two shortsword attacks. Shortsword. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one. Light Crossbow. Ranged Weapon Attack: +6 to hit, range 80/320 ft., one target. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 15 Constitution saving throw, taking 24 (7d6) poison damage on a failed save, or half as much damage on a successful one.","","","","","","",""
"Urwin Martikov","CoS","Medium","humanoid (human, shapechanger)","lawful good","12","31 (7d8)","30 ft. (fly 50 ft. in raven and hybrid forms)","10","15","11","13","15","14","","Insight +4, Perception +6","","","","","passive Perception 16","Common (can't speak in raven form)","2 (450 XP)"," Shapechanger. Urwin can use its action to polymorph into a raven-humanoid hybrid or into a raven, or back into its human form. Its statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed. It reverts to its human form if it dies. Mimicry. Urwin can mimic simple sounds it has heard, such as a person whispering, a baby crying, or an animal chittering. A creature that hears the sounds can tell they are imitations with a successful DC 10 Wisdom (Insight) check. Regeneration. Urwin regains 10 hit points at the start of its turn. If Urwin takes damage from a silvered weapon or a spell, this trait doesn't function at the start of Urwin's next turn. Urwin dies only if it starts its turn with 0 hit points and doesn't regenerate."," Multiattack (Human or Hybrid Form Only). Urwin makes two weapon attacks, one of which can be with its hand crossbow. Beak (Raven or Hybrid Form Only). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 1 piercing damage in raven form, or 4 (1d4 + 2) piercing damage in hybrid form. If the target is humanoid, it must succeed on a DC 10 Constitution saving throw or be cursed with wereraven lycanthropy. Shortsword (Human or Hybrid Form Only). Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. Hand Crossbow (Human or Hybrid Form Only). Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","","","","","","",""
"Uthgardt Barbarian Leader","SKT","Medium","humanoid (human)","chaotic neutral","14 (hide armor)","67 (9d8 + 27)","30 ft.","16","15","17","9","11","9","","","","","","","passive Perception 10","Bothii, Common, Elvish","2 (450 XP)"," Reckless. At the start of its turn, the barbarian can gain advantage on all melee weapon attack rolls during that turn, but attack rolls against it have advantage until the start of its next turn."," Greataxe. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 9 (1d12 + 3) slashing damage. Oathbow. Ranged Weapon Attack: +5 to hit, range 150/600 ft., one target. Hit: 7 (1d8 + 3) piercing damage, plus an extra 10 (3d6) piercing damage against a sworn enemy See the oathbow entry for the other properties.","","","","","","",""
"Uthgardt Shaman","SKT","Medium","humanoid (human)","any alignment","13 (hide armor)","38 (7d8 + 7)","30 ft.","14","12","13","10","15","12","","Medicine +4, Nature +4, Perception +4, Survival +6","","","","","passive Perception 14","Bothii, Common","2 (450 XP)",""," Spear. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 6 (1d8 + 2) piercing damage if wielded with two hands. Shortbow. Ranged Weapon Attack: +3 to hit, range 80/320 ft., one target. Hit: 4 (1d6 + 1) piercing damage. Spellcasting (Requires a Sacred Bundle). The shaman casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 12; +4 to hit with spell attacks):At will: dancing lights, mage hand, message, thaumaturgy1/day each: augury (cast as 1 action), bestow curse, cordon of arrows, detect magic, speak with dead, spirit guardians","","","","","","",""
"Vaal","SKT","Huge","giant","neutral good (50%) or neutral evil (50%)","14 (natural armor)","200 (16d12 + 96)","40 ft.","27","10","22","12","16","16","Con +10, Wis +7, Cha +7","Insight +7, Perception +7","","","","","passive Perception 17","Common, Giant","9 (5,000 XP)"," Innate Spellcasting. Vaal's innate spellcasting ability is Charisma. It can innately cast the following spells, requiring no material components:At will: detect magic, fog cloud, light3/day each: feather fall, fly, misty step, telekinesis1/day each: control weather, gaseous form Keen Smell. Vaal has advantage on Wisdom (Perception) checks that rely on smell."," Multiattack. Vaal makes two morningstar attacks. Morningstar. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: 21 (3d8 + 8) piercing damage. Rock. Ranged Weapon Attack: +12 to hit, range 60/240 ft., one target. Hit: 30 (4d10 + 8) bludgeoning damage.","","","","","","",""
"Vaasha","SKT","Huge","giant","neutral good","16 (scale mail)","230 (20d12 + 100)","50 ft., swim 50 ft.","29","14","20","16","18","18","Str +14, Con +10, Wis +9, Cha +9","Athletics +14, Perception +9, Survival +9","","cold","lightning, thunder","","passive Perception 19","Common, Giant","13 (10,000 XP)"," Amphibious. Vaasha can breathe air and water. Roleplaying Information. Vaasha is a skilled hunter and tracker who doesn't charge into danger without first assessing the risks. She's not afraid to speak her mind, even to her king. To her, a worthy leader values the truth, no matter how painful it is.Ideal: ""I want this conflict over with so that I can return to the quiet stillness of the ocean depths.""Bond: ""I'll protect this beautiful world from the ravages of evil with my dying breath.""Flaw: ""I don't care if my words hurt others' feelings."""," Multiattack. Vaasha makes two greatsword attacks. Greatsword. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: 30 (6d6 + 9) slashing damage. Rock. Ranged Weapon Attack: +14 to hit, range 60/240 ft., one target. Hit: 35 (4d12 + 9) bludgeoning damage. Lightning Strike (Recharge 5–6). Vaasha hurls a magical lightning bolt at a point it can see within 500 feet of it. Each creature within 10 feet of that point must make a DC 17 Dexterity saving throw, taking 54 (12d8) lightning damage on a failed save, or half as much damage on a successful one. Spellcasting. Vaasha casts one of the following spells, requiring no material spell components and using Charisma as the spellcasting ability (spell save DC 17):At will: detect magic, levitate, light1/day each: control weather (cast as 1 action), water breathing","","","","","","",""
